chain_id,validator_name,validator_address,target_weight
celestia,enigma,celestiavaloper107lwx458gy345ag2afx9a7e2kkl7x49y3433gj,0
celestia,conqueror,celestiavaloper10f8l8m4879h40848rsvxat797t3a5ghgdsjgzl,0
celestia,validatrium,celestiavaloper125xazqstxpav7ekrt4w8km7ccdu8ytj40xug70,0
celestia,lemniscap,celestiavaloper12t63cy8kn5n7qw77xvjn00ymcr0uuvz2vh8p79,0
celestia,Upnode,celestiavaloper133t4gpv4vhpqgfn9gr8l4u423zrglg8rkqeupr,620
celestia,Solva (CryptoCrew),celestiavaloper138jl42zlxue4wpvnugcdqhxjmyd2vpt6qhs5ls,408
celestia,noders,celestiavaloper139mu0a0ucz0gmrkavm5wjar2lpx7yvxq3e25e5,0
celestia,Lavender.Five Nodes 🐝,celestiavaloper140l6y2gp3gxvay6qtn70re7z2s0gn57zcvqd22,81
celestia,galaxydigital,celestiavaloper1463wx5xkus5hyugyecvlhv9qpxklz62kyhwcts,0
celestia,b-harvest,celestiavaloper14ntfv0qkg8522xe0pvrfgqxcmnj5x466v8z3tl,0
celestia,latamnodes,celestiavaloper14v4ush42xewyeuuldf6jtdz0a7pxg5fwrlumwf,0
celestia,forbole,celestiavaloper1593ns00rftlqp2gyu6wdmrqpgv5frv0hsf4sw2,0
celestia,Binary Builders,celestiavaloper15kpw453rgqrranltr8pcy9muryf3jjd7esw38j,802
celestia,chorusone,celestiavaloper15urq2dtp9qce4fyc85m6upwm9xul3049gwdz0x,0
celestia,freshstaking,celestiavaloper17h2x3j7u44qkrq0sk8ul0r2qr440rwgj8g0ng0,0
celestia,kjnodes,celestiavaloper17p8y0sm76zhrtjny98tknevafvlq9860ehykz3,0
celestia,contributiondao,celestiavaloper17srrapx2cvqyyy4rg3menq0hn86py8f3klelhl,0
celestia,zkv,celestiavaloper187avawwq7qhanrkxf45mayztdqsr49hu8lezdh,0
celestia,nodestake,celestiavaloper19f0w9svr905fhefusyx4z8sf83j6et0g57nch8,0
celestia,staking4all,celestiavaloper19kr4f4ndyek6kwa0vt3w4un8he0tkekufa8t2g,0
celestia,Validatus,celestiavaloper19v94c3z7ckarwsum76kaagma0wqsqhh5nl5zqg,884
celestia,brightlystake,celestiavaloper19y52qzj4hxw0u68krfptkjlm77cvth8dgum7yu,0
celestia,p-opsteam,celestiavaloper1ac4mnwg79gyvd0x5trl2fgjv07lgfas02jf378,0
celestia,IYKYK,celestiavaloper1amxp3ah9anq4pmpnsknls7sql3kras9hs8pu0g,668
celestia,projectblanc,celestiavaloper1auqmdc2pnx5gxvakjdsc9v9zc4y2ga0hcaxg9x,0
celestia,kooltek68,celestiavaloper1ax83exaawlmy5p2qn22gcynrchwdntt5xvj0qu,0
celestia,nansen,celestiavaloper1c9ye54e3pzwm3e0zpdlel6pnavrj9qqvjeqh0m,0
celestia,partnerstaking,celestiavaloper1clf3nqp89h97umhl4fmcqr642jz6rszcxegjc6,0
celestia,wavefive,celestiavaloper1cmaga4f6f7pttuwzfldn9067ld3090uw0e6zq8,0
