Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
Polychain dYdX,dydxvaloper1n98mgsv725meet0s88twgd3sjx70jvlm24xnac,0,34503645446241829861159259,3.45036E+25,20.00%,N,Y,98.7%,0/10,N,"commission>10%, gov<5/10 (fraction=0.000)",0.00%,
Keplr,dydxvaloper1jvct2ck9hptwyzrr0umfvwxed7n9nhhj0wfmdf,42250064205901779366451,20110592206372344386657345,2.00683E+25,5.00%,N,Y,99.9%,10/10,Y,force_included (PoA partner),8.92%,10.67%
polkachu.com,dydxvaloper15xgxv2j45uc4er8z9tfz5m0f0e74ymv6xj9l9d,0,10340144723068059768786652,1.03401E+25,5.00%,N,Y,98%,10/10,Y,force_included (PoA partner),0.00%,8.88%
Kiln,dydxvaloper1u9xeaqdjz3kky2ymdhdsn0ra5uy9tc3elj2jte,44997265690142029594599,9670178605472957743592559,9.62518E+24,5.00%,N,Y,98.7%,6/10,Y,OK,9.50%,8.27%
Cosmostation,dydxvaloper1vl5ty47uwpfv4mcutwv4zam09mvvvdgy09n0l5,34008459753181028682857,8823384347969880270746958,8.78938E+24,5.00%,N,Y,97.7%,3/10,N,"name_excluded (cosmostation), gov<5/10 (fraction=0.300)",7.18%,
RHINO 🦏,dydxvaloper1cpz0jtj6rkezzs7z8k5gy6py05sxdkmyvggvvh,20746107760297062065582,8583744059139207045291012,8.563E+24,5.00%,N,Y,99.9%,4/10,N,gov<5/10 (fraction=0.400),4.38%,
CLC,dydxvaloper1e0r3fljewfvj7729q6f07m8fy9v5e208s5ztkf,19798796903662493021491,8303276006609476068606241,8.28348E+24,5.00%,N,Y,94.7%,10/10,N,uptime<95% (u=0.947),4.18%,
Enigma,dydxvaloper160n4rwm854v06ppkly2pt0zc9rpwlm5y2gjyqf,9615205194840875797513,8204990422945042618057848,8.19538E+24,5.00%,N,Y,93.8%,10/10,N,uptime<95% (u=0.938),2.03%,
TTT VN,dydxvaloper1r227t4qx8muzshsl862n4cgdswsesyd0pp42un,20130355703484592186924,8120460492371870167286951,8.10033E+24,5.00%,N,Y,99.9%,8/10,Y,OK,4.25%,6.96%
Crosnest,dydxvaloper1y6ncfxx8x9sqec97pehjw0k32slw63850ltjrn,25624758671965092642653,7984587383295362390684448,7.95896E+24,5.00%,N,Y,99.9%,8/10,Y,OK,5.41%,6.84%
PRO Delegators,dydxvaloper1rqhxemv6e5x43uny8qdyq78zneuk49pe5gkltz,15062242620489647801035,7464953432763739370532545,7.44989E+24,5.00%,N,Y,100%,10/10,Y,OK,3.18%,6.40%
Stakecito Labs,dydxvaloper18jr2wx3qsu8g9gep6jypcxunx2jvcjquxk60wc,30882333926286950837359,7374572876768109020692424,7.34369E+24,10.00%,N,Y,98.2%,10/10,Y,force_included (PoA partner),6.52%,6.31%
Kingnodes 👑,dydxvaloper1j4ljutnh66r55a29jydgca7pfmhd40e3nlcfa4,0,7302307687832739145968796,7.30231E+24,5.00%,N,Y,100%,7/10,Y,OK,0.00%,6.27%
Ex Machina,dydxvaloper1y29mkku4zqz8phrxc8zgu7jfnw504leqdwvzzg,0,7252320536364381269368423,7.25232E+24,25.00%,N,Y,99.9%,0/10,N,"commission>10%, gov<5/10 (fraction=0.000)",0.00%,
Solva (CryptoCrew) X Defi Dojo,dydxvaloper199fjq4rnfvz24cktl8cervx8h8e90ruk3yrrdn,26335241814441019425720,7008063119824771170913085,6.98173E+24,5.00%,N,Y,100%,8/10,Y,force_included (PoA partner),5.56%,6.00%
Allnodes,dydxvaloper1tle46v89xuxaggrq7zvun5ye66c580fzhayma3,0,6086470063319335813486935,6.08647E+24,10.00%,N,Y,85.2%,10/10,N,uptime<95% (u=0.852),0.00%,
Nodes.Guru,dydxvaloper19ylcqyrgsejrghujsf6utrgw69nukw9q0xe0sj,19040948218354837786219,5651899775066110930729589,5.63286E+24,5.00%,N,Y,99.7%,6/10,Y,OK,4.02%,4.84%
Ledger by Meria,dydxvaloper1gffkd68xcnfpzcsplf0fsuetxkysunud6a900w,0,5532183096637316816186812,5.53218E+24,5.00%,N,Y,96.4%,9/10,Y,OK,0.00%,4.75%
Bitwise Onchain Solutions,dydxvaloper16pj5gljqnqs0ajxakccfjhu05yczp98724qpyn,0,5213933988649680989368021,5.21393E+24,8.00%,N,Y,98.6%,1/10,N,gov<5/10 (fraction=0.100),0.00%,
Imperator.co,dydxvaloper1mwhwf9rqh64ktr8t8xnz37nhg7vvy42ec56jwe,22167074045248915631721,5192115733275042134365562,5.16995E+24,5.00%,N,Y,89.2%,0/10,Y,force_included (PoA partner),4.68%,4.44%
Figment,dydxvaloper1d9e68e7glce5pehh8qk0gcx9l06tjeh0naz0r0,0,5071311190836386668721773,5.07131E+24,10.00%,N,Y,99.9%,0/10,N,gov<5/10 (fraction=0.000),0.00%,
AutoStake 🛡️ Slash Protected,dydxvaloper1gf9yvztyvnc3aqrkjd8hfnaf8pk56sl7mzfage,18519927247205824811968,4832130528238905627969001,4.81361E+24,5.00%,N,Y,99.6%,8/10,Y,OK,3.91%,4.14%
Meria,dydxvaloper1ml44cenapnawcn4xy3w36jce0rg78dm8ajvypn,0,4628768600899154917282966,4.62877E+24,5.00%,N,Y,94.2%,9/10,N,uptime<95% (u=0.942),0.00%,
DragonStake 🐲,dydxvaloper1he9yn4jhuq50vtf95ncv9rvplnqug8w9yw8dwc,0,4576546808958838702707387,4.57655E+24,5.00%,N,Y,100%,9/10,Y,OK,0.00%,3.93%
Smart Stake,dydxvaloper1t8hjjca8kecjtuhs2qy83maurj78fq2z5c44z5,20888204388792247422195,4467839286152040789067069,4.44695E+24,5.00%,N,Y,99.8%,10/10,Y,OK,4.41%,3.82%
Citadel.one,dydxvaloper1u3lzafmew5w99829r6cnvf2s5yevpwy226f088,0,4353567747322425499917866,4.35357E+24,5.00%,N,Y,100%,8/10,N,name_excluded (citadel.one),0.00%,
Interstellar 🍸,dydxvaloper1u0exa7dqlsgvfje9sg0emxrmtdmvakp7d0f697,13499179707042608878286,4237307851503546107643006,4.22381E+24,5.00%,N,Y,75.1%,7/10,N,uptime<95% (u=0.751),2.85%,
Luganodes,dydxvaloper1fs0t34g628xdqc8alfefnadq2x3qawt8g88mav,0,3938561456937602414212115,3.93856E+24,5.00%,N,Y,98.9%,5/10,Y,OK,0.00%,3.38%
Silk Nodes,dydxvaloper1w44vfk3jzh69p7yawwqcaazuxz944ve95qpaf8,13736007421201251139309,2806374128305604536788473,2.79264E+24,5.00%,N,Y,98.9%,10/10,Y,OK,2.90%,2.40%
DELIGHT,dydxvaloper1mnj3vlwgud7fvfx7tgawmx8k2gd40fy2amarjg,10278322794485074128374,1980688517717358299789180,1.97041E+24,5.00%,N,Y,99.8%,8/10,Y,OK,2.17%,1.69%
BinanceNode,dydxvaloper180pv8mahh2yk4kzxmnvcx7l9f3es4a5n6x7c8s,0,882379769264306576088441,8.8238E+23,5.00%,Y,Y,95.1%,0/10,N,"CEX, bottom_5%_stake, gov<5/10 (fraction=0.000)",0.00%,
Shutting Down,dydxvaloper15wphegl8esn7r2rgj9j3xf870v78lxg8yfjn95,0,483486378401292402129695,4.83486E+23,5.00%,N,N,,,N,"inactive, name_excluded (shutting down), uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Cosmic Nexus,dydxvaloper1zhyan2t9w5z7yw20l9e97zc030d2ddq4awdyys,0,338380947374336515089043,3.38381E+23,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Nansen | Deprecating - Please redelegate,dydxvaloper1c9ye54e3pzwm3e0zpdlel6pnavrj9qqv2ttvgk,33961094210349300230656,254284196926709961402509,2.20323E+23,5.00%,N,N,,,N,"inactive, name_excluded (redelegate), uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",7.17%,
Blockdaemon,dydxvaloper1ynz8v474ghzhl5ms86mzw0r5mcga3klh2tdw5l,0,214283474341560230244850,2.14283E+23,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Please redelegate to Stakecito.,dydxvaloper1qe8uuf5x69c526h4nzxwv4ltftr73v7qvjutn2,0,159576998628471966231880,1.59577E+23,5.00%,N,N,,,N,"inactive, name_excluded (redelegate), uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Lavender.Five Nodes 🐝,dydxvaloper140l6y2gp3gxvay6qtn70re7z2s0gn57zq7tkd8,0,131181191862572375806454,1.31181E+23,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Finality,dydxvaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5w04dz0c,0,92991315472420742687689,9.29913E+22,20.00%,N,N,,,N,"inactive, commission>10%, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
OWALLET,dydxvaloper1j84s6aeqmhk053qqwvlyy4hu5p3k3qzdyrmw0d,0,88605193727022059312594,8.86052E+22,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
coinhall.org 📈🔄,dydxvaloper1a4mcl5d6h2ak4hn6nj8vg8vtew6t3mnwzd4sqn,0,70899095430390881890123,7.08991E+22,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
[Please redelegate to CLC] Crypto Learning Club | dYdX Validator,dydxvaloper154u397hzffmpk6xyt2fnrx6l0fzwzmplgws2fs,0,65397322839657070001669,6.53973E+22,5.00%,N,N,,,N,"inactive, name_excluded (redelegate), uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
OKX Earn,dydxvaloper19sk0mm69k5lgzwywzr9335pqj5mqcadnprclam,0,62437769812081468204636,6.24378E+22,5.00%,Y,N,,,N,"inactive, CEX, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Sophon,dydxvaloper1nwtp8t5vl86zdm5ag85st5czv7d0kscq2zzvgl,0,50107394542512100000001,5.01074E+22,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
"[Sunsetting, please redelegate] Informal Systems",dydxvaloper1x20lytyf6zkcrv5edpkfkn8sz578qg5se6j3y3,25861586386123734903673,57875734046812698513943,3.20141E+22,5.00%,N,N,,,N,"inactive, name_excluded (redelegate), uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",5.46%,
strangelove,dydxvaloper1zts523wqvtrhd2a9mznfc83msgs6mgwczvj7kw,0,26240834664216014599477,2.62408E+22,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Pareto (Exited as Validator),dydxvaloper1ywm48fet6n4jgrenl6dsuzprrgxv3pd89n97zt,0,2.0125E+22,2.0125E+22,10.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Provalidator,dydxvaloper1a9lm6t9qalz53jrp0q6p50q2cxeqnwsh48g3tt,0,19488799695655915674490,1.94888E+22,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Cosmic Validator | 100% Uptime,dydxvaloper1k2mlt4akhddh8gz9r3227ruuaestgdczx60vqk,6252251653788155690989,21512220613731816294838,1.526E+22,10.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",1.32%,
QuantNode,dydxvaloper1z97qlmmxhgraspwwgx7h7mppm9mhg0wkcl20qd,0,1.42258E+22,1.42258E+22,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
Swiss Staking,dydxvaloper19wsh3g3d2vnx68zym4wpw0et2xnfwagzj5454u,0,14089823003972011269824,1.40898E+22,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
HashKey Cloud(Exited as Validator),dydxvaloper1dhjg0k9zc2gualfzlmp395tvq2y706z7kryxgg,0,13302554591359817674152,1.33026E+22,5.00%,N,N,,,N,"inactive, uptime<95% (u=0.000), gov<5/10 (fraction=0.000)",0.00%,
